,Date,Home Team,Away Team,Home Score,Away Score,Tournament,City,Country,Neutral,Outcome,Winning Team,Losing Team,Total Goals,Year,Decade,Month,Month Name,Day of Week
1,1873-03-08,England,Scotland,4,2,Friendly,London,England,False,H,England,Scotland,6,1873,1870,3,March,Saturday
11,1879-04-05,England,Scotland,5,4,Friendly,London,England,False,H,England,Scotland,9,1879,1870,4,April,Saturday
58,1888-03-17,Scotland,England,0,5,British Championship,Glasgow,Scotland,False,A,England,Scotland,5,1888,1880,3,March,Saturday
79,1891-04-06,England,Scotland,2,1,British Championship,Blackburn,England,False,H,England,Scotland,3,1891,1890,4,April,Monday
85,1892-04-02,Scotland,England,1,4,British Championship,Glasgow,Scotland,False,A,England,Scotland,5,1892,1890,4,April,Saturday
90,1893-04-01,England,Scotland,5,2,British Championship,Richmond,England,False,H,England,Scotland,7,1893,1890,4,April,Saturday
102,1895-04-06,England,Scotland,3,0,British Championship,Liverpool,England,False,H,England,Scotland,3,1895,1890,4,April,Saturday
120,1898-04-02,Scotland,England,1,3,British Championship,Glasgow,Scotland,False,A,England,Scotland,4,1898,1890,4,April,Saturday
126,1899-04-08,England,Scotland,2,1,British Championship,Birmingham,England,False,H,England,Scotland,3,1899,1890,4,April,Saturday
150,1903-03-21,Scotland,Northern Ireland,0,2,British Championship,Glasgow,Scotland,False,A,Northern Ireland,Scotland,2,1903,1900,3,March,Saturday
162,1904-04-09,Scotland,England,0,1,British Championship,Glasgow,Scotland,False,A,England,Scotland,1,1904,1900,4,April,Saturday
168,1905-03-06,Wales,Scotland,3,1,British Championship,Wrexham,Wales,False,H,Wales,Scotland,4,1905,1900,3,March,Monday
171,1905-04-01,England,Scotland,1,0,British Championship,London,England,False,H,England,Scotland,1,1905,1900,4,April,Saturday
179,1906-03-03,Scotland,Wales,0,2,British Championship,Edinburgh,Scotland,False,A,Wales,Scotland,2,1906,1900,3,March,Saturday
194,1907-03-04,Wales,Scotland,1,0,British Championship,Wrexham,Wales,False,H,Wales,Scotland,1,1907,1900,3,March,Monday
232,1909-03-01,Wales,Scotland,3,2,British Championship,Wrexham,Wales,False,H,Wales,Scotland,5,1909,1900,3,March,Monday
237,1909-04-03,England,Scotland,2,0,British Championship,London,England,False,H,England,Scotland,2,1909,1900,4,April,Saturday
255,1910-03-19,Northern Ireland,Scotland,1,0,British Championship,Belfast,Ireland,False,H,Northern Ireland,Scotland,1,1910,1910,3,March,Saturday
358,1913-04-05,England,Scotland,1,0,British Championship,London,England,False,H,England,Scotland,1,1913,1910,4,April,Saturday
543,1920-04-10,England,Scotland,5,4,British Championship,Sheffield,England,False,H,England,Scotland,9,1920,1920,4,April,Saturday
623,1922-02-04,Wales,Scotland,2,1,British Championship,Wrexham,Wales,False,H,Wales,Scotland,3,1922,1920,2,February,Saturday
781,1924-02-16,Wales,Scotland,2,0,British Championship,Cardiff,Wales,False,H,Wales,Scotland,2,1924,1920,2,February,Saturday
1034,1927-04-02,Scotland,England,1,2,British Championship,Glasgow,Scotland,False,A,England,Scotland,3,1927,1920,4,April,Saturday
1112,1928-02-25,Scotland,Northern Ireland,0,1,British Championship,Glasgow,Scotland,False,A,Northern Ireland,Scotland,1,1928,1920,2,February,Saturday
1274,1930-04-05,England,Scotland,5,2,British Championship,London,England,False,H,England,Scotland,7,1930,1930,4,April,Saturday
1397,1931-05-16,Austria,Scotland,5,0,Friendly,Vienna,Austria,False,H,Austria,Scotland,5,1931,1930,5,May,Saturday
1399,1931-05-20,Italy,Scotland,3,0,Friendly,Rome,Italy,False,H,Italy,Scotland,3,1931,1930,5,May,Wednesday
1471,1932-04-09,England,Scotland,3,0,British Championship,London,England,False,H,England,Scotland,3,1932,1930,4,April,Saturday
1538,1932-10-26,Scotland,Wales,2,5,British Championship,Edinburgh,Scotland,False,A,Wales,Scotland,7,1932,1930,10,October,Wednesday
1608,1933-09-16,Scotland,Northern Ireland,1,2,British Championship,Glasgow,Scotland,False,A,Northern Ireland,Scotland,3,1933,1930,9,September,Saturday
1614,1933-10-04,Wales,Scotland,3,2,British Championship,Cardiff,Wales,False,H,Wales,Scotland,5,1933,1930,10,October,Wednesday
1669,1934-04-14,England,Scotland,3,0,British Championship,London,England,False,H,England,Scotland,3,1934,1930,4,April,Saturday
1739,1934-10-20,Northern Ireland,Scotland,2,1,British Championship,Belfast,Northern Ireland,False,H,Northern Ireland,Scotland,3,1934,1930,10,October,Saturday
1930,1936-12-02,Scotland,Wales,1,2,British Championship,Dundee,Scotland,False,A,Wales,Scotland,3,1936,1930,12,December,Wednesday
2036,1937-10-30,Wales,Scotland,2,1,British Championship,Cardiff,Wales,False,H,Wales,Scotland,3,1937,1930,10,October,Saturday
2217,1939-04-15,Scotland,England,1,2,British Championship,Glasgow,Scotland,False,A,England,Scotland,3,1939,1930,4,April,Saturday
2644,1946-10-19,Wales,Scotland,3,1,British Championship,Wrexham,Wales,False,H,Wales,Scotland,4,1946,1940,10,October,Saturday
2689,1947-05-18,Belgium,Scotland,2,1,Friendly,Brussels,Belgium,False,H,Belgium,Scotland,3,1947,1940,5,May,Sunday
2743,1947-10-04,Northern Ireland,Scotland,2,0,British Championship,Belfast,Northern Ireland,False,H,Northern Ireland,Scotland,2,1947,1940,10,October,Saturday
2763,1947-11-12,Scotland,Wales,1,2,British Championship,Glasgow,Scotland,False,A,Wales,Scotland,3,1947,1940,11,November,Wednesday
2828,1948-04-10,Scotland,England,0,2,British Championship,Glasgow,Scotland,False,A,England,Scotland,2,1948,1940,4,April,Saturday
2840,1948-05-17,Switzerland,Scotland,2,1,Friendly,Berne,Switzerland,False,H,Switzerland,Scotland,3,1948,1940,5,May,Monday
2842,1948-05-23,France,Scotland,3,0,Friendly,Colombes,France,False,H,France,Scotland,3,1948,1940,5,May,Sunday
